seller_id,authenticity_score,verified_purchase,suspicious_cluster_flag,fake_probability,authenticity_component,verification_component,cluster_trust_component,fake_trust_component,seller_trust_score,seller_grade,trust_explanation
Books_5,51.73111696705004,0.4852941176470588,1.0,0.48268883032949955,51.73111696705004,48.529411764705884,0.0,51.73111696705004,40.584467273053995,F,"Low trust because of low verified purchase rate, elevated suspicious cluster activity."
Clothing_Shoes_and_Jewelry_5,49.135611815800125,0.46875,0.9921875,0.5086438818419987,49.135611815800125,46.875,0.78125,49.13561181580013,38.89958649869007,F,"Low trust because of low average review authenticity, low verified purchase rate, elevated suspicious cluster activity, many reviews predicted as fake."
Electronics_5,48.82065282092219,0.5292096219931272,1.0,0.511793471790778,48.82065282092219,52.92096219931272,0.0,48.82065282092219,40.081599601335384,F,"Low trust because of low average review authenticity, elevated suspicious cluster activity, many reviews predicted as fake."
Home_and_Kitchen_5,51.21577761378821,0.478125,1.0,0.48784222386211795,51.21577761378821,47.8125,0.0,51.215777613788205,40.12180268758352,F,"Low trust because of low verified purchase rate, elevated suspicious cluster activity."
Kindle_Store_5,47.61082399618238,0.4894179894179894,0.9947089947089947,0.5238917600381762,47.61082399618238,48.94179894179894,0.5291005291005346,47.61082399618238,38.52722303917015,F,"Low trust because of low average review authenticity, low verified purchase rate, elevated suspicious cluster activity, many reviews predicted as fake."
Movies_and_TV_5,53.22100174094488,0.5692883895131086,0.9962546816479401,0.4677899825905512,53.22100174094488,56.92883895131086,0.3745318352059934,53.221001740944885,43.5786670623886,F,Low trust because of elevated suspicious cluster activity.
Pet_Supplies_5,50.81037617880831,0.4331395348837209,0.997093023255814,0.4918962382119169,50.81037617880831,43.31395348837209,0.29069767441860517,50.810376178808305,38.83233480532132,F,"Low trust because of low verified purchase rate, elevated suspicious cluster activity."
Sports_and_Outdoors_5,49.11417299564209,0.5467625899280576,0.9964028776978417,0.5088582700435791,49.11417299564209,54.67625899280576,0.3597122302158251,49.11417299564209,40.75380234184776,F,"Low trust because of low average review authenticity, elevated suspicious cluster activity, many reviews predicted as fake."
Tools_and_Home_Improvement_5,49.82841956495735,0.5118110236220472,0.9960629921259843,0.5017158043504265,49.82841956495735,51.181102362204726,0.3937007874015741,49.82841956495735,40.27964650875804,F,"Low trust because of low average review authenticity, elevated suspicious cluster activity, many reviews predicted as fake."
Toys_and_Games_5,52.08912590191215,0.4485294117647059,1.0,0.4791087409808785,52.08912590191215,44.85294117647059,0.0,52.08912590191215,39.862254540169324,F,"Low trust because of low verified purchase rate, elevated suspicious cluster activity."
